Date,ASII
3/21/2022,6600
3/22/2022,6575
3/23/2022,6475
3/24/2022,6575
3/25/2022,6400
3/28/2022,6700
3/29/2022,6550
3/30/2022,6650
3/31/2022,6575
4/1/2022,5775
4/2/2022,5500
4/3/2022,5625
4/4/2022,6825
4/7/2022,6500
4/8/2022,6600
4/10/2022,6725
4/11/2022,6425
4/13/2022,6975
4/14/2022,6875
4/18/2022,7000
4/19/2022,6900
4/20/2022,6900
4/21/2022,7000
4/22/2022,7050
4/25/2022,7075
4/26/2022,7200
4/27/2022,7125
4/28/2022,7575
5/1/2022,5575
5/4/2022,6900
5/7/2022,6325
5/8/2022,6625
5/9/2022,6875
5/10/2022,6675
5/12/2022,6025
5/13/2022,7125
5/17/2022,7000
5/18/2022,7100
5/19/2022,7000
5/20/2022,7125
5/23/2022,6950
5/24/2022,7150
5/25/2022,7100
5/27/2022,7225
5/30/2022,7250
5/31/2022,7350
6/1/2022,5675
6/4/2022,7000
6/6/2022,7225
6/7/2022,6075
6/9/2022,6900
6/10/2022,6600
6/12/2022,5875
6/13/2022,7025
6/14/2022,6975
6/15/2022,6700
6/16/2022,6850
6/17/2022,6950
6/20/2022,6925
6/21/2022,6850
6/22/2022,6800
6/23/2022,6875
6/24/2022,6675
6/27/2022,6650
6/28/2022,6700
6/29/2022,6500
6/30/2022,6625
7/1/2022,5700
7/2/2022,5475
7/3/2022,5800
7/4/2022,6900
7/6/2022,7200
7/7/2022,5950
7/9/2022,6650
7/10/2022,6475
7/11/2022,6500
7/12/2022,5725
7/13/2022,5825
7/14/2022,6100
7/15/2022,5950
7/18/2022,6025
7/19/2022,6075
7/20/2022,6275
7/21/2022,6175
7/22/2022,6075
7/25/2022,6075
7/26/2022,6100
7/27/2022,6100
7/28/2022,6050
7/29/2022,6325
8/2/2022,5550
8/3/2022,6250
8/4/2022,7000
8/6/2022,7175
8/7/2022,5975
8/8/2022,6700
8/9/2022,6650
8/11/2022,6525
8/12/2022,5675
8/15/2022,6875
8/16/2022,6975
8/18/2022,6975
8/19/2022,6975
8/22/2022,6925
8/23/2022,6975
8/24/2022,7050
8/25/2022,6975
8/26/2022,6875
8/29/2022,6825
8/30/2022,6900
8/31/2022,6975
9/2/2022,5550
9/3/2022,6300
9/5/2022,7050
9/6/2022,7200
9/8/2022,6750
9/9/2022,6775
9/11/2022,6550
9/12/2022,5675
9/13/2022,7200
9/14/2022,7150
9/15/2022,7050
9/16/2022,6900
9/19/2022,7125
9/20/2022,7175
9/21/2022,7150
9/22/2022,7175
9/23/2022,7150
9/26/2022,6975
9/27/2022,6950
9/28/2022,6800
9/29/2022,6775
9/30/2022,6625
10/1/2022,5650
10/2/2022,5450
10/3/2022,6250
10/5/2022,7000
10/6/2022,6925
10/8/2022,6850
10/10/2022,6500
10/11/2022,6525
10/13/2022,6350
10/14/2022,6350
10/17/2022,6425
10/18/2022,6350
10/19/2022,6525
10/20/2022,6425
10/21/2022,6575
10/24/2022,6650
10/25/2022,6700
10/26/2022,6575
10/27/2022,6650
10/28/2022,6550
10/31/2022,6650
11/1/2022,5700
11/2/2022,5450
11/3/2022,6275
11/4/2022,6850
11/5/2022,6900
11/7/2022,6050
11/8/2022,6950
11/10/2022,6525
11/11/2022,6450
11/14/2022,6300
11/15/2022,6225
11/16/2022,6175
11/17/2022,6300
11/18/2022,6225
11/21/2022,6325
11/22/2022,6225
11/23/2022,6200
11/24/2022,6200
11/25/2022,6175
11/28/2022,6225
11/29/2022,6050
11/30/2022,6050
12/1/2022,5725
12/4/2022,6950
12/5/2022,6850
12/7/2022,6100
12/8/2022,6950
12/9/2022,6975
12/10/2022,6350
12/12/2022,5675
12/13/2022,5825
12/14/2022,5825
12/15/2022,5800
12/16/2022,5775
12/19/2022,5700
12/20/2022,5700
12/21/2022,5700
12/22/2022,5775
12/23/2022,5675
12/26/2022,5650
12/27/2022,5675
12/28/2022,5625
12/29/2022,5650
12/30/2022,5700
1/2/2023,6000
1/3/2023,6150
1/8/2023,6875
1/9/2023,6550
1/11/2023,5800
1/12/2023,5750
1/13/2023,5450
1/16/2023,5600
1/17/2023,5550
1/18/2023,5650
1/19/2023,5850
1/20/2023,5900
1/24/2023,5925
1/25/2023,5950
1/26/2023,5900
1/27/2023,5875
1/30/2023,5875
1/31/2023,6000
2/1/2023,5700
2/2/2023,5925
2/3/2023,6150
2/5/2023,6675
2/8/2023,6850
2/10/2023,6275
2/11/2023,5800
2/13/2023,5725
2/14/2023,5725
2/15/2023,5675
2/16/2023,5700
2/17/2023,5675
2/20/2023,5600
2/21/2023,5575
2/22/2023,5625
2/23/2023,5650
2/24/2023,5750
2/27/2023,5800
2/28/2023,6100
3/1/2023,5650
3/2/2023,5875
3/3/2023,6050
3/4/2023,6000
3/5/2023,6625
3/7/2023,6825
3/8/2023,6825
3/10/2023,6200
3/11/2023,5900
3/13/2023,5925
3/14/2023,5775
3/15/2023,5775
3/16/2023,5850
3/17/2023,5850
3/20/2023,5875
3/21/2023,5875
3/24/2023,5950
3/27/2023,5875
3/28/2023,5850
3/29/2023,5950
3/30/2023,5900
3/31/2023,6000
4/1/2023,5675
4/4/2023,6025
4/5/2023,6600
4/7/2023,6775
4/8/2023,6800
4/9/2023,6600
4/10/2023,6075
4/12/2023,5750
4/13/2023,6250
4/14/2023,6200
4/17/2023,6225
4/18/2023,6425
4/26/2023,6700
4/27/2023,6700
4/28/2023,6750
5/1/2023,5375
5/4/2023,6000
5/5/2023,6150
5/6/2023,6825
5/7/2023,6775
5/9/2023,6600
5/10/2023,6025
5/12/2023,5725
5/15/2023,6350
5/16/2023,6275
5/17/2023,6325
5/19/2023,6475
5/22/2023,6600
5/23/2023,6600
5/24/2023,6675
5/25/2023,6600
5/26/2023,6600
5/29/2023,6600
5/30/2023,6500
5/31/2023,6450
6/1/2023,5450
6/2/2023,5850
6/3/2023,6075
6/4/2023,5925
6/6/2023,6800
6/7/2023,6800
6/9/2023,6525
6/10/2023,6075
6/11/2023,5925
6/12/2023,5725
6/13/2023,6750
6/14/2023,6900
6/15/2023,6875
6/16/2023,6850
6/19/2023,6875
6/20/2023,6800
6/21/2023,6925
6/22/2023,6775
6/23/2023,6775
6/26/2023,6800
6/27/2023,6775
7/2/2023,5875
7/3/2023,5950
7/6/2023,6800
7/7/2023,6825
7/8/2023,6875
7/9/2023,6400
7/11/2023,5825
7/12/2023,5675
7/13/2023,6800
7/14/2023,6750
7/17/2023,6675
7/18/2023,6575
7/20/2023,6525
7/21/2023,6450
7/24/2023,6550
7/25/2023,6500
7/26/2023,6600
7/27/2023,6525
7/28/2023,6625
7/31/2023,6850
8/2/2023,5800
8/3/2023,5925
8/5/2023,6125
8/6/2023,6775
8/8/2023,6850
8/9/2023,6400
8/11/2023,5725
8/12/2023,5675
8/14/2023,6800
8/15/2023,6725
8/16/2023,6750
8/18/2023,6525
8/21/2023,6475
8/22/2023,6550
8/23/2023,6550
8/24/2023,6475
8/25/2023,6450
8/28/2023,6425
8/29/2023,6400
8/30/2023,6450
8/31/2023,6450
9/1/2023,5350
9/2/2023,5675
9/3/2023,6025
9/5/2023,6325
9/6/2023,6800
9/8/2023,6875
9/10/2023,6125
9/11/2023,5750
9/13/2023,6300
9/14/2023,6325
9/15/2023,6300
9/18/2023,6300
9/19/2023,6350
9/20/2023,6300
9/21/2023,6200
9/22/2023,6200
9/25/2023,6250
9/26/2023,6200
9/27/2023,6150
9/29/2023,6225
10/1/2023,5325
10/2/2023,5700
10/3/2023,5975
10/4/2023,5975
10/5/2023,6325
10/7/2023,6775
10/8/2023,6750
10/10/2023,6050
10/11/2023,5775
10/13/2023,5975
10/16/2023,5850
10/17/2023,5850
10/18/2023,5825
10/19/2023,5725
10/20/2023,5700
10/23/2023,5600
10/24/2023,5800
10/25/2023,5775
10/26/2023,5725
10/27/2023,5725
10/30/2023,5800
10/31/2023,5775
11/1/2023,5225
11/4/2023,6075
11/5/2023,6250
11/7/2023,6800
11/8/2023,6750
11/9/2023,6375
11/10/2023,6050
11/12/2023,5600
11/13/2023,5650
11/14/2023,5675
11/15/2023,5750
11/16/2023,5825
11/17/2023,5700
11/20/2023,5800
11/21/2023,5775
11/22/2023,5675
11/23/2023,5700
11/24/2023,5725
11/27/2023,5625
11/28/2023,5550
11/29/2023,5525
11/30/2023,5400
12/1/2023,5350
12/4/2023,6250
12/5/2023,6225
12/6/2023,6775
12/7/2023,6775
12/9/2023,6300
12/10/2023,5950
12/12/2023,5575
12/13/2023,5525
12/14/2023,5625
12/15/2023,5650
12/18/2023,5600
12/19/2023,5625
12/20/2023,5625
12/21/2023,5550
12/22/2023,5550
12/27/2023,5550
12/28/2023,5600
12/29/2023,5650
1/2/2024,5700
1/3/2024,5600
1/4/2024,5700
1/5/2024,5625
1/8/2024,5575
1/9/2024,5575
1/10/2024,5525
1/11/2024,5550
1/12/2024,5600
1/15/2024,5525
1/16/2024,5500
1/17/2024,5400
1/18/2024,5375
1/19/2024,5350
1/22/2024,5225
1/23/2024,5125
1/24/2024,5075
1/25/2024,5050
1/26/2024,5075
1/29/2024,4930
1/30/2024,5100
1/31/2024,5125
2/1/2024,5125
2/2/2024,5325
2/5/2024,5175
2/6/2024,5250
2/7/2024,5325
2/12/2024,5300
2/13/2024,5200
2/15/2024,5125
2/16/2024,5200
2/19/2024,5125
2/20/2024,5200
2/21/2024,5250
2/22/2024,5275
2/23/2024,5125
2/26/2024,5125
2/27/2024,5175
2/28/2024,5225
2/29/2024,5225
3/1/2024,5225
3/4/2024,5200
3/5/2024,5100
3/6/2024,5175
3/7/2024,5125
3/8/2024,5150
3/13/2024,5150
3/14/2024,5275
3/15/2024,5175
3/18/2024,5150
3/19/2024,5225
3/20/2024,5275
3/21/2024,5350
3/22/2024,5375
3/25/2024,5350
3/26/2024,5300
3/27/2024,5275
3/28/2024,5150
4/1/2024,5200
4/2/2024,5275
4/3/2024,5250
4/4/2024,5175
4/5/2024,5275
4/16/2024,5100
4/17/2024,5125
4/18/2024,5100
4/19/2024,4900
4/22/2024,4950
4/23/2024,5025
4/24/2024,4910
4/25/2024,4950
4/26/2024,4880
4/29/2024,5025
4/30/2024,5150
5/2/2024,5175
5/3/2024,5225
5/6/2024,5100
5/7/2024,5050
5/8/2024,5125
5/13/2024,5075
5/14/2024,4580
5/15/2024,4530
5/16/2024,4710
5/17/2024,4800
5/20/2024,4740
5/21/2024,4700
5/22/2024,4710
5/27/2024,4550
5/28/2024,4510
5/29/2024,4460
5/30/2024,4320
5/31/2024,4290
6/3/2024,4500
6/4/2024,4580
6/5/2024,4600
6/6/2024,4560
6/7/2024,4560
6/10/2024,4510
6/11/2024,4350
6/12/2024,4360
6/13/2024,4460
6/14/2024,4420
6/19/2024,4450
6/20/2024,4450
6/21/2024,4490
6/24/2024,4430
6/25/2024,4400
6/26/2024,4420
6/27/2024,4430
6/28/2024,4460
7/1/2024,4620
7/2/2024,4530
7/3/2024,4570
7/4/2024,4550
7/5/2024,4580
7/8/2024,4640
7/9/2024,4560
7/10/2024,4540
7/11/2024,4510
7/12/2024,4540
7/15/2024,4470
7/16/2024,4380
7/17/2024,4460
7/18/2024,4540
7/19/2024,4530
7/22/2024,4520
7/23/2024,4450
7/24/2024,4530
7/25/2024,4490
7/26/2024,4610
7/29/2024,4610
7/30/2024,4540
7/31/2024,4720
8/1/2024,4740
8/2/2024,4690
8/5/2024,4560
8/6/2024,4610
8/7/2024,4630
8/8/2024,4740
8/9/2024,4760
8/12/2024,4760
8/13/2024,4760
8/14/2024,4890
8/15/2024,4890
8/16/2024,4970
8/19/2024,5025
8/20/2024,5125
8/21/2024,5075
8/22/2024,5000
8/23/2024,5100
8/26/2024,5150
8/27/2024,5150
8/28/2024,5025
8/29/2024,5075
8/30/2024,5100
9/2/2024,5200
9/3/2024,5125
9/4/2024,5050
9/5/2024,5075
9/6/2024,5050
9/9/2024,5025
9/10/2024,5025
9/11/2024,5025
9/12/2024,5025
9/13/2024,5075
9/17/2024,5075
9/18/2024,5250
9/19/2024,5275
9/20/2024,5225
9/23/2024,5225
9/24/2024,5275
9/25/2024,5225
9/26/2024,5250
9/27/2024,5100
9/30/2024,5050
10/1/2024,5175
10/2/2024,5150
10/3/2024,5250
10/4/2024,5150
10/7/2024,5100
10/8/2024,5225
10/9/2024,5075
10/10/2024,5125
10/11/2024,5075
10/14/2024,4930
10/15/2024,4930
10/16/2024,4960
10/17/2024,4950
10/18/2024,4920
10/21/2024,5100
10/22/2024,5275
10/23/2024,5300
10/24/2024,5275
10/25/2024,5225
10/28/2024,5250
10/29/2024,5125
10/30/2024,5200
10/31/2024,5100
11/1/2024,5075
11/4/2024,5125
11/5/2024,5175
11/6/2024,5050
11/7/2024,5000
11/8/2024,4960
11/11/2024,4970
11/12/2024,4970
11/13/2024,5025
11/14/2024,4950
11/15/2024,4940
11/18/2024,4930
11/19/2024,4970
11/20/2024,5000
11/21/2024,4890
11/22/2024,4910
11/25/2024,5175
11/26/2024,5150
11/28/2024,5125
11/29/2024,5100
12/2/2024,4940
12/3/2024,5125
12/4/2024,5225
12/5/2024,5200
12/6/2024,5150
12/9/2024,5225
12/10/2024,5225
12/11/2024,5250
12/12/2024,5100
12/13/2024,5125
12/16/2024,5125
12/17/2024,4980
12/18/2024,5000
12/19/2024,4880
12/20/2024,4870
12/23/2024,4950
12/24/2024,4880
12/27/2024,4930
12/30/2024,4900
1/2/2025,4950
1/3/2025,4950
1/6/2025,4860
1/7/2025,4920
1/8/2025,4810
1/9/2025,4930
1/10/2025,4900
1/13/2025,4750
1/14/2025,4750
1/15/2025,4940
1/16/2025,4880
1/17/2025,4940
1/20/2025,4910
1/21/2025,4910
1/22/2025,4960
1/23/2025,4900
1/24/2025,4870
1/30/2025,4780
1/31/2025,4800
2/3/2025,4760
2/4/2025,4800
2/5/2025,4740
2/6/2025,4550
2/7/2025,4650
2/10/2025,4570
2/11/2025,4610
2/12/2025,4640
2/13/2025,4660
2/14/2025,4680
2/17/2025,4740
2/18/2025,4800
2/19/2025,4700
2/20/2025,4720
2/21/2025,4750
2/24/2025,4700
2/25/2025,4560
2/26/2025,4580
2/27/2025,4590
2/28/2025,4530
3/3/2025,4680
3/4/2025,4690
3/5/2025,4900
3/6/2025,4900
3/7/2025,4930
3/10/2025,4770
3/11/2025,4800
3/12/2025,4810
3/13/2025,4730
3/14/2025,4620
3/17/2025,4620
3/18/2025,4650
3/19/2025,4690
3/20/2025,4710
3/21/2025,4840
3/24/2025,4690
3/25/2025,4650
3/26/2025,4800
3/27/2025,4920
4/8/2025,4480
4/9/2025,4620
4/10/2025,4710
4/11/2025,4710
4/14/2025,4930
4/15/2025,4870
4/16/2025,4780
4/17/2025,4750
4/21/2025,4790
4/22/2025,4740
4/23/2025,4820
4/24/2025,4770
4/25/2025,4860
4/28/2025,4890
4/29/2025,4800
4/30/2025,4800
5/2/2025,4790
5/5/2025,4780
5/6/2025,4750
5/7/2025,4830
5/8/2025,4780
5/9/2025,4780
5/14/2025,4810
5/15/2025,4820
5/16/2025,4880
5/19/2025,4940
5/20/2025,4860
5/21/2025,4670
5/22/2025,4630
5/23/2025,4740
5/26/2025,4730
5/27/2025,4700
5/28/2025,4850
6/2/2025,4780
6/3/2025,4700
6/4/2025,4610
6/5/2025,4610
6/10/2025,4600
6/11/2025,4610
6/12/2025,4560
6/13/2025,4570
6/16/2025,4610
6/17/2025,4600
6/18/2025,4590
6/19/2025,4530
6/20/2025,4490
6/23/2025,4430
6/24/2025,4470
6/25/2025,4470
6/26/2025,4450
6/30/2025,4500
